"Classificação","Código do
Insumo","Descrição do Insumo","Unidade","Origem de Preço","AC","AL","AM","AP","BA","CE","DF","ES","GO","MA","MG","MS","MT","PA","PB","PE","PI","PR","RJ","RN","RO","RR","RS","SC","SE","SP","TO"
"MATERIAL","39158","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""","UN","CR","26.15","18.73","33.28","37.37","21.58","41.37","21.11","18.92","14.74","29.57","17.78","32.05","21.68","22.06","24.72","27.58","28.53","24.25","24.53","27.58","34.23","30.43","27.2","11.98","15.69","18.83","26.72"
"MATERIAL","39141","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""","UN","CR","1.9","1.36","2.42","2.71","1.56","3.0","1.53","1.37","1.07","2.15","1.29","2.33","1.57","1.6","1.79","2.0","2.07","1.76","1.78","2.0","2.48","2.21","1.97","0.87","1.14","1.36","1.94"
"MATERIAL","39140","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""","UN","CR","1.72","1.23","2.19","2.46","1.42","2.73","1.39","1.24","0.97","1.95","1.17","2.11","1.43","1.45","1.63","1.82","1.88","1.6","1.61","1.82","2.25","2.0","1.79","0.79","1.03","1.24","1.76"
"MATERIAL","39139","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""","UN","CR","1.43","1.02","1.82","2.04","1.18","2.26","1.15","1.03","0.8","1.62","0.97","1.75","1.18","1.2","1.35","1.51","1.56","1.32","1.34","1.51","1.87","1.66","1.49","0.65","0.86","1.03","1.46"
"MATERIAL","39137","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""","UN","CR","0.99","0.71","1.26","1.42","0.82","1.57","0.8","0.71","0.56","1.12","0.67","1.21","0.82","0.83","0.94","1.04","1.08","0.92","0.93","1.04","1.3","1.15","1.03","0.45","0.59","0.71","1.01"
"MATERIAL","39143","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""","UN","CR","3.92","2.8","4.98","5.6","3.23","6.2","3.16","2.83","2.2","4.43","2.66","4.8","3.25","3.3","3.7","4.13","4.27","3.63","3.67","4.13","5.13","4.56","4.07","1.79","2.35","2.82","4.0"
"MATERIAL","39142","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""","UN","CR","2.8","2.01","3.57","4.01","2.31","4.44","2.26","2.03","1.58","3.17","1.9","3.44","2.32","2.36","2.65","2.96","3.06","2.6","2.63","2.96","3.67","3.26","2.92","1.28","1.68","2.02","2.86"
"MATERIAL","39144","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""","UN","CR","4.56","3.26","5.8","6.52","3.76","7.21","3.68","3.3","2.57","5.16","3.1","5.59","3.78","3.85","4.31","4.81","4.97","4.23","4.28","4.81","5.97","5.31","4.74","2.09","2.73","3.28","4.66"
"MATERIAL","39138","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""","UN","CR","1.05","0.75","1.34","1.5","0.86","1.66","0.85","0.76","0.59","1.19","0.71","1.29","0.87","0.88","0.99","1.11","1.14","0.97","0.98","1.11","1.37","1.22","1.09","0.48","0.63","0.75","1.07"
"MATERIAL","39136","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""","UN","CR","0.7","0.5","0.89","1.0","0.57","1.11","0.56","0.5","0.39","0.79","0.47","0.86","0.58","0.59","0.66","0.74","0.76","0.65","0.65","0.74","0.91","0.81","0.73","0.32","0.42","0.5","0.71"
"MATERIAL","39145","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""","UN","CR","7.51","5.38","9.56","10.74","6.2","11.89","6.06","5.44","4.23","8.5","5.11","9.21","6.23","6.34","7.1","7.92","8.2","6.97","7.05","7.92","9.84","8.74","7.81","3.44","4.51","5.41","7.68"
"MATERIAL","12615","ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE *80 E 100* MM, PARA DRENAGEM PLUVIAL PREDIAL","UN","CR","13.92","12.17","11.06","9.78","11.06","12.58","13.6","16.42","13.85","11.61","13.98","13.91","13.09","13.01","12.16","10.48","12.1","12.06","13.56","12.16","14.9","11.33","14.27","12.46","11.9","13.58","11.75"
"MATERIAL","11927","ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 2"" A 2 1/2""","UN","CR","","8.16","","10.38","8.95","10.74","","7.59","","","9.95","8.7","8.06","9.85","","12.1","","7.05","10.38","7.88","8.95","","","9.67","","7.16",""
"MATERIAL","11928","ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 3"" A 3 3/4""","UN","CR","","9.35","","11.9","10.26","12.31","","8.7","","","11.41","9.97","9.23","11.28","","13.87","","8.08","11.9","9.02","10.26","","","11.08","","8.2",""
"MATERIAL","11929","ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 4"" A 4 3/4""","UN","CR","","14.47","","18.4","15.86","19.04","","13.45","","","17.64","15.42","14.28","17.45","","21.45","","12.5","18.4","13.96","15.86","","","17.13","","12.69",""
"MATERIAL","36801","ACABAMENTO DE METAL CROMADO PARA REGISTRO PEQUENO, DE PAREDE, 1/2"" OU 3/4""","UN","CR","27.16","37.22","50.94","71.5","37.78","36.0","38.44","27.31","37.47","51.92","33.81","38.95","42.77","18.12","38.41","40.82","39.14","32.55","37.42","26.4","35.42","33.31","62.53","50.36","36.01","30.63","37.94"
"MATERIAL","36246","ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M","M","CR","2.93","5.74","3.25","4.16","3.7","","3.11","3.73","3.44","4.18","3.93","5.32","4.12","4.08","3.82","3.99","","4.33","5.64","4.3","4.53","3.6","5.7","3.76","4.13","4.26","4.09"
"MATERIAL","37600","ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M","UN","CR","","","","","","","","","","","","","","","","","","","","","","","","","","104.86",""
"MATERIAL","37599","ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS","UN","CR","","","","","","","","","","","","","","","","","","","","","","","","","","97.6",""
"MATERIAL","1","ACETILENO - RECARGA DE GAS PARA CILINDRO (NAO INCLUI TROCA/MANUTENCAO DO CILINDRO)","KG","C","","134.1","","","152.78","99.95","","94.44","73.33","","80.0","100.0","120.0","","94.44","","","107.5","","","","","107.95","","","104.5",""
"MATERIAL","3","ACIDO CLORIDRICO / ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA","L","CR","18.88","16.1","15.17","15.94","14.88","18.21","13.65","15.19","17.1","16.86","20.99","13.2","16.32","16.7","14.72","26.04","26.24","16.4","16.7","18.97","16.67","17.92","20.27","16.7","20.58","16.55","18.72"
"MATERIAL","43054","ACO CA-25, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, OU 25,0 MM, VERGALHAO","KG","CR","11.09","10.5","9.77","10.63","7.4","7.95","8.33","9.85","7.19","7.59","8.21","8.58","8.87","8.17","7.5","8.13","7.99","8.54","9.44","8.54","10.59","9.34","8.95","7.7","9.18","6.7","7.49"
"MATERIAL","42402","ACO CA-25, 16,0 MM, BARRA DE TRANSFERENCIA","KG","CR","10.6","10.04","9.34","10.16","7.07","7.6","7.96","9.41","6.87","7.25","7.85","8.2","8.47","7.81","7.17","7.77","7.63","8.17","9.02","8.17","10.12","8.92","8.56","7.36","8.77","6.4","7.16"
"MATERIAL","42403","ACO CA-25, 20,0 MM, BARRA DE TRANSFERENCIA","KG","CR","13.59","12.88","11.98","13.03","9.08","9.75","10.22","12.07","8.82","9.3","10.06","10.52","10.87","10.02","9.2","9.97","9.79","10.48","11.57","10.48","12.99","11.45","10.98","9.44","11.25","8.21","9.18"
"MATERIAL","42404","ACO CA-25, 25,0 MM, BARRA DE TRANSFERENCIA","KG","CR","13.52","12.81","11.91","12.96","9.03","9.69","10.16","12.01","8.77","9.25","10.01","10.46","10.81","9.96","9.15","9.92","9.74","10.42","11.51","10.42","12.91","11.39","10.92","9.39","11.19","8.16","9.13"
"MATERIAL","42405","ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA","KG","CR","14.4","13.64","12.69","13.8","9.61","10.32","10.82","12.79","9.34","9.86","10.66","11.14","11.52","10.61","9.74","10.56","10.37","11.1","12.26","11.1","13.76","12.13","11.63","10.0","11.92","8.7","9.73"
"MATERIAL","34341","ACO CA-25, 32,0 MM, VERGALHAO","KG","CR","12.5","11.84","11.02","11.98","8.34","8.96","9.39","11.1","8.11","8.55","9.25","9.67","9.99","9.21","8.46","9.17","9.0","9.63","10.64","9.63","11.94","10.53","10.09","8.68","10.34","7.55","8.44"
"MATERIAL","43053","ACO CA-25, 6,3 MM OU 8,0 MM, VERGALHAO","KG","CR","9.9","9.38","8.73","9.49","6.61","7.1","7.44","8.8","6.42","6.78","7.33","7.67","7.92","7.3","6.7","7.27","7.13","7.63","8.43","7.63","9.46","8.34","8.0","6.88","8.2","5.98","6.69"
"MATERIAL","43058","ACO CA-50, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, DOBRADO E CORTADO","KG","CR","10.27","9.73","9.05","9.84","6.86","7.36","7.72","9.12","6.66","7.03","7.6","7.95","8.21","7.57","6.95","7.53","7.4","7.91","8.74","7.91","9.81","8.65","8.29","7.13","8.5","6.2","6.94"
"MATERIAL","34","ACO CA-50, 10,0 MM, VERGALHAO","KG","CR","10.32","9.78","9.1","9.89","6.89","7.4","7.76","9.17","6.69","7.06","7.64","7.99","8.25","7.61","6.98","7.57","7.43","7.95","8.78","7.95","9.86","8.69","8.33","7.17","8.54","6.23","6.97"
"MATERIAL","43055","ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO","KG","C","8.94","8.47","7.88","8.57","5.97","6.41","6.72","7.94","5.8","6.12","6.62","6.92","7.15","6.59","6.05","6.56","6.44","6.89","7.61","6.89","8.54","7.53","7.22","6.21","7.4","5.4","6.04"
"MATERIAL","43056","ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO","KG","CR","10.31","9.77","9.08","9.88","6.88","7.39","7.75","9.15","6.69","7.05","7.63","7.98","8.24","7.6","6.97","7.56","7.42","7.94","8.77","7.94","9.85","8.68","8.32","7.16","8.53","6.22","6.96"
"MATERIAL","43057","ACO CA-50, 32,0 MM, VERGALHAO","KG","CR","11.33","10.73","9.98","10.86","7.56","8.12","8.51","10.06","7.35","7.75","8.39","8.77","9.06","8.35","7.66","8.31","8.16","8.73","9.64","8.73","10.82","9.54","9.15","7.87","9.38","6.84","7.65"
"MATERIAL","34449","ACO CA-50, 6,3 MM, DOBRADO E CORTADO","KG","CR","12.11","11.47","10.67","11.61","8.08","8.68","9.1","10.75","7.85","8.29","8.96","9.37","9.68","8.92","8.19","8.88","8.72","9.33","10.31","9.33","11.57","10.2","9.78","8.41","10.02","7.31","8.18"
"MATERIAL","32","ACO CA-50, 6,3 MM, VERGALHAO","KG","CR","10.89","10.31","9.6","10.44","7.27","7.8","8.18","9.67","7.06","7.45","8.06","8.43","8.71","8.02","7.37","7.99","7.84","8.39","9.27","8.39","10.4","9.17","8.79","7.56","9.01","6.57","7.35"
"MATERIAL","33","ACO CA-50, 8,0 MM, VERGALHAO","KG","CR","10.95","10.37","9.65","10.5","7.31","7.85","8.23","9.72","7.1","7.49","8.11","8.47","8.76","8.07","7.41","8.03","7.89","8.44","9.32","8.44","10.46","9.22","8.84","7.6","9.06","6.61","7.4"
"MATERIAL","43061","ACO CA-60, 4,2 MM OU 5,0 MM, DOBRADO E CORTADO","KG","CR","10.23","9.69","9.02","9.81","6.83","7.33","7.69","9.09","6.64","7.0","7.58","7.92","8.18","7.54","6.92","7.51","7.37","7.88","8.71","7.88","9.77","8.62","8.26","7.11","8.47","6.18","6.91"
"MATERIAL","43059","ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO","KG","CR","9.77","9.25","8.61","9.36","6.52","7.0","7.34","8.67","6.33","6.68","7.23","7.56","7.81","7.2","6.61","7.16","7.03","7.53","8.31","7.53","9.33","8.22","7.89","6.78","8.08","5.9","6.6"
"MATERIAL","43062","ACO CA-60, 6,0 MM OU 7,0 MM, DOBRADO E CORTADO","KG","CR","10.82","10.25","9.54","10.38","7.23","7.76","8.13","9.61","7.02","7.41","8.01","8.38","8.66","7.98","7.32","7.94","7.8","8.34","9.21","8.34","10.34","9.12","8.74","7.52","8.96","6.54","7.31"
"MATERIAL","43060","ACO CA-60, 8,0 MM OU 9,5 MM, VERGALHAO","KG","CR","8.51","8.06","7.5","8.15","5.68","6.1","6.39","7.55","5.52","5.82","6.3","6.58","6.8","6.27","5.76","6.24","6.13","6.56","7.24","6.56","8.13","7.16","6.87","5.91","7.04","5.14","5.75"
"MATERIAL","40410","ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")","UN","C","","","","","40.0","","","","","","","","","","","","","","","","","","","","","20.49",""
"MATERIAL","40411","ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")","UN","CR","","","","","43.41","","","","","","","","","","","","","","","","","","","","","22.23",""
"MATERIAL","40412","ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")","UN","CR","","","","","48.72","","","","","","","","","","","","","","","","","","","","","24.95",""
"MATERIAL","44254","ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 15 MM, CAIXA D'AGUA PARA AGUA QUENTE","UN","CR","32.79","","","","28.76","28.1","28.73","35.43","27.43","","31.03","36.1","31.95","28.9","","","","30.09","28.1","26.63","34.12","","34.51","28.56","","29.89",""
"MATERIAL","44255","ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 22 MM, CAIXA D'AGUA PARA AGUA QUENTE","UN","CR","36.35","","","","31.87","31.15","31.85","39.27","30.4","","34.39","40.02","35.41","32.03","","","","33.35","31.15","29.52","37.82","","38.25","31.66","","33.13",""
"MATERIAL","44256","ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 28 MM, CAIXA D'AGUA PARA AGUA QUENTE","UN","CR","41.05","","","","36.0","35.18","35.97","44.35","34.34","","38.84","45.2","39.99","36.18","","","","37.66","35.18","33.34","42.72","","43.2","35.76","","37.42",""
"MATERIAL","44257","ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 35 MM, CAIXA D'AGUA PARA AGUA QUENTE","UN","CR","64.95","","","","56.96","55.66","56.91","70.17","54.32","","61.46","71.51","63.27","57.24","","","","59.59","55.66","52.74","67.58","","68.35","56.57","","59.21",""
"MATERIAL","44258","ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 42 MM, CAIXA D'AGUA PARA AGUA QUENTE","UN","CR","74.23","","","","65.09","63.61","65.04","80.19","62.08","","70.23","81.72","72.31","65.42","","","","68.1","63.61","60.28","77.24","","78.11","64.65","","67.66",""
"MATERIAL","44259","ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 54 MM, CAIXA D'AGUA PARA AGUA QUENTE","UN","CR","101.88","","","","89.35","87.32","89.27","110.07","85.22","","96.4","112.17","99.26","89.8","","","","93.48","87.32","82.74","106.01","","107.22","88.75","","92.87",""
"MATERIAL","37997","ADAPTADOR CPVC, SOLDAVEL, 15 MM, PARA AGUA QUENTE","UN","CR","19.54","","","","17.13","16.75","17.12","21.11","16.34","","18.49","21.51","19.04","17.22","","","","17.93","16.75","15.87","20.33","","20.56","17.02","","17.81",""
"MATERIAL","37998","ADAPTADOR CPVC, SOLDAVEL, 22 MM, PARA AGUA QUENTE","UN","CR","26.15","","","","22.93","22.41","22.92","28.25","21.87","","24.75","28.79","25.48","23.05","","","","23.99","22.41","21.24","27.21","","27.52","22.78","","23.84",""
"MATERIAL","55","ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)","UN","C","","","","","","","","","","","6.31","","","","","","","","","","","","7.09","","","4.56",""
"MATERIAL","61","ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)","UN","CR","","","","","","","","","","","5.97","","","","","","","","","","","","6.71","","","4.31",""
